Oscar Wilde (1854-1900);44 Tite Street SW3, ;Irish playwright and novelist Oscar Wilde (1854-1900) moved to Tite Street with his wife in 1884, and would write all his plays here as well asThe Picture of Dorian Grey (1890), his only novel. He was forced to leave this house in 1895, due to his imprisonment. The house and its interior was auctioned off.;Greater London;Blue Plaque (English Heritage)
Sir Arthur Conan Doyle (1859-1930);"Tower Road, Hindhead
Surrey, GU26 6SU";The house Undershaw in Hindhead was built for especially for novelist and short story writer Sir Arthur Conan Doyle. The Scottish born writer lived here from 1897 to 1907. Undershaw is where Doyle wrote many of his works, including his famous Sherlock Holmes novel The Hound of the Baskervilles (1902). After Doyle moved out, Undershaw served as an hotel until 2004. Attempts to turn the property into a museum failed. Today Undershaw houses Stepping Stones School, a school for children with special needs.;South East;-
Arthur Conan Doyle (1859-1930);1 Bush Villas, Elm Grove, Southsea;Novelist and short story writer Sir Arthur Conan Doyle (1859-1930) wrote A Study in Scarlet (1887) and The Sign of Four (1890) whilst living in this house in Southsea, a seaside resort in Portsmouth. He arrived there in 1882 to set up a doctor’s practice. Due to lack of patient, he was able to write. Unfortunately the property at Bush Villas no longer exists. Following extensive bombing during World War II, many of the historical properties in Elm Grove were destroyed. A plaque commemorates Doyle as a former resident.;South East;Plaque
Arthur Conan Doyle (1859-1930);Windlesham Manor, Hurtis Hill, Crowborough, TN6 3AA;Novelist and short story writer Sir Arthur Conan Doyle (1859-1930) moved to Windlesham Manor, now a Residential Care Home, in 1907.  He also died here in 1930. Doyle is locally remebered with a statue on Crowborough Cross.;South East;Statue
Thomas Hardy (1840-1928);Hardy’s Cottage, Higher Bockhampton, Dorset, DT2 8QJ;Novelist and poet Thomas Hardy (1840-1928) was born in this cottage in Higher Bockhampton. Today the cottage is a museum, called Hardy’s Cottage, and is being maintained by the National Trust. ;South West;Museum (National Trust)
Thomas Hardy (1840-1928);Max Gate, Alington Avenue, Dorchester, Dorset, DT1 2AB;Novelist and poet Thomas Hardy (1840-1928) designed and built Max Gate in 1885 and lived there until his death in 1928. It was here that he wrote his most famous novels, such as Tess of the d’Urbervilles (1891). In 1940, Hardy’s sister bequeathed the property to the National Trust.;South East;Museum (National Trust)
Lord Byron (1788-1824);Burgage House, King Street, Southwell, NG25 0EN;Before becoming that ‘most brilliant star’ of English poetry, Lord Byron (1788-1824) visited Burgage House multiple times between 1803 and 1807 to see his mother, during his holidays from Harrow and Cambridge. In 1806, Burgage House was the scene of a scandal involving a young Lord Byron, and the daughter of the house, Julia Leacroft.;East Midlands;-
William Wordsworth (1770 – 1850);Wordsworth House, Main Street, Cockermouth, CA13 9RX;Romantic poet William Wordsworth (1770-1850) was born in what is now known as Wordsworth House, a house in the Lake District. The Georgian townhouse, now in the hands of The National Trust, was home to Wordsworth during the 1770s.;North West;Museum (National Trust)
William Wordsworth (1770 – 1850);"Alfoxton House, Holford
Bridgwater, TA5 1SG";Poet William Wordsworth (1770-1850) lived at Alfoxton House between July 1797 and June 1798, during the time of his friendship with fellow poet Samuel Taylor Coleridge. The house was home to American troops and nurses in World War Two, The house is now called Alfoxton Park Hotel and has been privately owned since 2011.;South West;-
William Wordsworth (1770 – 1850);Dove Cottage, Grasmere, Cumbria LA22 9SH;Dove Cottage was home to poet William Wordsworth (1770-1850) from 1799 to 1808. Called “the loveliest spot that man hath ever found,” the cottage is now being maintained by the Wordsworth Trust ans is open to visitors as a museum.;North West;Museum (The Wordsworth Trust)
William Wordsworth (1770 – 1850);Rydal Mount, Ambleside, LA22 9LU;Home to poet William Wordsworth (1770-1850) from 1813 to his death in 1850, Rydal Mount currently acts as a writer’s home museum.;North West;Museum
Samuel Taylor Coleridge (1772-1834) ;Coleridge Cottage, 35 Lime Street, Nether Stowey, Bridgwater, TA5 1NQ;Poet Samuel Taylor Coleridge (1772-1834) wrote his most famous poem 'The Rime of the Ancient Mariner’ (1798) in what is now known as Coleridge Cotage, a house he rented between 1797 and 1799. The property was privately owned until 1909, when it was donated to the National Trust. The house has been a writer's home museum since then.;South East;Writer’s home (The National Trust)
Samuel Taylor Coleridge (1772-1834) ;Greta Hall Main Street, Keswick, CA12 5NH;Poet Samuel Taylor Coleridge (1772-1834) lived here with his family from1800 until 1803 and was regularly visited here by his friend and fellow poet William Wordsworth. The house is currently used as a Bed & Breakfast.;North West;-
Samuel Taylor Coleridge (1772-1834) ;Coleridge House, 15 Coleridge Rd, N8 8EH;Due to his opium addiction, poet Samuel Taylor Coleridge (1772-1834) took residence in the Highgate homes of a physician in 1816. He would life here for the rest of his life, and eventually die here, in 1834. Now, the house is privately owned, and was bought by British model Kate Moss in 2011.;Greater London;-
Alfred Lord Tennyson (1809-1892) ;Somersby House, Lincolnshire Wolds, PE23 4NR;Now a private home called Somersby House, the Rectory was home to the parents of poet Alfred Lord Tennyson (1809-1892) from 1808 until 1837. His Lincolnshire roots would later feature in much of his poetry.;East Midlands;-
Alfred Lord Tennyson (1809-1892) ;Beech Hill House, Manor Road, IG10 4AD;Beech Hill House was home to poet Alfred, Lord Tennyson (1809-1892) from 1837 to 1840.;Greater London;-
Alfred Lord Tennyson (1809-1892) ;Chapel House, 15 Montpelier Row, Twickenham, TW1;"Once described by him as ""the most lovely house with a beautiful view in every room”, poet Alfred Lord Tennyson (1809-1892) wrote his poem ‘Ode on the Death of the Duke of Wellington’ whilst living in Chapel House.";Greater London;Blue Plaque (English Heritage)
Alfred Lord Tennyson (1809-1892) ;Farringford House, Bedbury Lane, PO40 9PE;Farringford House on the Isle of Wight was bought in 1856 by poet Alfred Lord Tennyson (1809-1892). Although he moved to West Sussex in 1869, he kept staying in the house during winters. The house was turned into a hotel in de 1940s, and is currently a ‘self catering accommodation’.;South East;-
Alfred Lord Tennyson (1809-1892) ;Aldworth House, Tennyson's Lane, GU27 3BJ,;Poet Alfred Lord Tennyson (1809-1892) moved to Aldorth House in 1869, where he would be visited by writer-friends like George Elliot and Henry James. Tennyson eventually passed away here in 1892, holding a copy of Shakespeare in his hands. The house was sold to a private owner in 2008.;South East;-
Kingsley Amis (1922–1995);"Lemons, Hadley Common, Monken Hadley, EN5
";Lucky Jim-author Kingsley Amis (1922-1995) wrote several novels in this house called ‘Lemons’, as did his son Martin Amis (1949). Poet Laureate Cecil Day-Lewis, father of actor Daniel Day-Lewis, died in this house, and wrote his last poem ‘At Lemmons’ whilst residing here.;Greater London;-
Virginia Woolf (1882-1941) ;22 Hyde Park Gate, Kensington, W2 2UH;Birthplace of novelist Virginia Woolf (1882-1941). The house was sold to a private owner after the death of her father, in 1904, that left Woolf bereaved and depressed.;Greater London;Blue Plaque (English Heritage)
Virginia Woolf (1882-1941) ;46 Gordon Square, Kings Cross, WC1H 0PD;House that Woolf moved into after the death of her father in 1904. The house was frequented by member of the Bloomsbury Groop. A blue plaque marks the fact that economist John Maynard Keynes (1883–1946) lived here, after Woolf moved.;Greater London;Blue Plaque (English Heritage)
Virginia Woolf (1882-1941) ;Talland House, St Ives, Cornwall, TR 26;Talland House, was rented by the father of novelist Virginia Woolf (1882-1941) between 1881 and 1895. Woolf would later fictionalise the house in her novel To the Lighthouse (1927).;South West;
Virginia Woolf (1882-1941) ;Monk House,  Rodmell, Lewes, East Sussex, BN7 3HF;Loved for the 'shape and fertlity and wildness of the garden’, novelist Virgina Woolf (1882-1941) discovered Monk’s House in 1919. The house is situated near the river Ouse, where she killed herself in 1941. Her cremated remains where buried beneath an elm tree in the garden of Monk's House, by her husband Leonard. The house is now owned by The National Trust.;South East;Museum (National Trust)
Bram Stoker (1847-1912);26 St George's Square, Pimlico, SW1V 3QN;Irish novelist and Dracula-author Bram Stoker (1847-1912) lived and worked in London for 27 years as business manager. He died in this house in 1912.  ;Greater London;-
Dame Daphne du Marier (1907-1989);Cannon Hall, 14 Cannon Place, Hampstead, NW3 1EH;This house was the family home of novelist Dame Daphne du Maurier (1907-1989) famous for her novel Rebecca (1938) and novelette The Birds (1952). English Heritage caused controversy in 2008 when they rejected an application to commemorate this house with a Blue Plaque. In 2011 a plaque was mounted by the Heath and Hampstead Society The house is privately owned.;Greater London;Plaque (Heath and Hampstead Society)
Dame Daphne du Marier (1907-1989);Menabilly, Tywardreath, PL 24;Home to novelist Dame Daphne du Maurier (1907-1989) from 1943 to 1969, Menabilly House formed the inspiration for Manderley, the country estate that plays a central role in Du Mauriers gothic novel Rebecca (1938);South West;-
George Orwell (1903-1950);22 Portobello Road, W11 3DH;Born in Motihari, India, journalist and novelist George Orwell (1903-1950) moved to England as a small boy and lived on multiple locations in Oxfordshire. In 1927 he moved to this London house on Portobello Road, where a blue plaque commemorates his residence.;Greater London;Blue Plaque (English Heritage)
George Orwell (1903-1950);27B Canonbury Square, London N1 2AL;Journalist and novelist George Orwell (1903-1950) moved to here in the autumn of 1944, after a V-1 flying bomb struck his former home at Mortimer Crescent. He lived here between 1944 and 1948, during which time his novelette Animal Farm (1945) was published and he started on his dystopian novel NineteenEightyFour (1948).;Greater London;-
George Orwell (1903-1950);Montague House, Southwold High Street, Southwold, IP18 6DN;Family home to the Orwells, journalist and novelist George Orwell (1903-1950) stayed here on numerous occasions during his live. It was here that her worked on his novel A Clergyman’s Daughter (1935).;East Anglia;-
George Orwell (1903-1950);The Stores, 2 Kits Lane, Wallington, G7 6SP;"After the publication of The Road to Wigan Pier (1936), journalist and novelist George Orwell (1903-1950) moved to this cottage in Wallington. He kept the cottage for more than ten years and wrote much of his novelette Animal Farm (1945) whilst living in The Stores, where he drew inspiration from the surrounding farm life. A commemorative plaque was placed here in 1989 by Hertfordshire County Council. The plaque mistakenly refers to Orwell living here until 1940. He had the lease until 1947.
";East Anglia;Commemorative Plaque (Hertfordshire County Council)
William Shakespeare (1564 - 1616);"Henley St
Stratford-upon-Avon,
Warwickshire,
CV37 6QW";Now called The Shakespeare Centre, or Shakespeare’s Birthplace, and open as a museum, this is the house where Elizabethan playwright William Shakespeare (1564-1616) was born.;West Midlands;Museum (Shakespeare Birthplace Trust)
William Shakespeare (1564 - 1616);New Place, 22 Chapel Street, Stratford-upon-Avon, CV37 6EP;Demolished in 1759, New Place was the final place of residence of the Elizabethan playwright William Shakespeare (1564-1616). He died here in 1616. The Shakespeare Birthplace Trust acquired New Place in 1876. Today the site where New Place once stood is accessible through a museum that resides next to the plot of land.;West Midlands;Museum (Shakespeare Birthplace Trust)
John Donne (1573-1631) ;Pyrford Place, ’Summer House’, Pyrford, 8UB GU22 ;After an elopment, and prisontime, poet John Donne (1572-1631) retired to a small house in Pyrford, where he lived from 1600 to 1604.;South East;Blue Plaque (English Heritage)
Laurence Sterne (1713-1768);Main Street, Sutton-on-the-Forest, North Yorkshire, YO61 1DR,;House of Tristam Shandy-author Laurence Sterne (1713-1768), who was a vicar in Sutton-on-the-Forest from 1738 to1768. Sterne's vicarage next door to this church was destroyed by fire in 1765.;Yorkshire and the Humber;-
Laurence Sterne (1713-1768);41 Old Bond Street, Mayfair, W1S;Less than a month after the publication of Sentimental Journey (1768), novelist Laurence Sterne (1713-1768) died here at the age of 54. He was buried in the churchyard of St George's, Hanover Square.;Greater London;-
Geoffrey Chaucer (c. 1343 – 1400);Palace on the Pillars, Aldgate, Aldgate High Street;A wooden structure, called ‘Palace on the Pillars’, build in 2012 for the summer Olympcs, marks the location of the historic Aldgate, the gateway where poet and Canterbury Tales-author Geoffrey Chaucer (1343-1400) lived from 1374 to 1386. Aldgate, the original eastern most gateway through London, was removed in 1761.;Greater London;Wooden Structure (Palace on the Pillars)
Iris Murdoch (1919 - 1999);30 Charlbury Road, OX2 6UU;Bought in 1988 by novelist and philosopher Iris Murdoch (1919-1999), the author of the Man Booker Prize-winning novel The Sea, the Sea (1978), died here in 1999.;South East;-
A.A. Milne (1882 – 1956);"Cotchford Farm, Cotchford Ln
Hartfield, TN7 4DN";After he was injured during The Battle of the Somme, and being discharged in February 1919, novelist A.A. Milne (1882-1956) first settled in London. In 1925 he bought this country home, Cotchford Farm, were the author of Winnie the Pooh would die in 1956, at the age of 74. (The house also belonged to Rolling Stones-founder Brian Jones, who was found dead in the pool of Cotchford farm in 1969.);South West;-
J.M. Barrie (1860-1937);Black Lake Cottage, now known as ‘Barrie House’, Lobswood Manor, Tilford Road, Lower Bourne, Farnham GU10 3RW;Bought in 1900, Black Lake Cottage became an escape for playwright J.M. Barrie (1860-1937). At Black Lake Cotage, he entertained the Llewelyn Davies family, well knowm for being the inspiration for the main characters in Peter Pan.;South East;-
J.M. Barrie (1860-1937);Bayswater Rd, W2 4RQ;The house that inspired playwright J.M. Barrie to write about a boy who never grew up: Peter Pan.A statue of Peter Pan was erected here in 1912. After Barrie got divorced in 1909, he sold the house to the widow of Antarctic explorer Robert Falcon Scott (1868-1912). The house was sold again in 2015.;Greater London;Statue (of Peter Pan)
Henry Williamson (1895-1977);21 Eastern Road, Brockley, SE4;Birthplace of novelist Henry Williamson (1895-1977), who would become famous with his influential novel Tarka the Otter (1927).;Greater London;Blue Plaque (English Heritage)
Henry Williamson (1895-1977);Skirr Cottage, Church Rd, Croyde, Georgeham, Devon, EX33 1J;After serving in the First World War, novelist Henry Williamson (1895-1977) lived in Skirr Cottage from 1921 to 1925. Here he wrote his first published work, The Beautiful Years (1921) and his most famous novel: Tarka the Otter (1927). Williamson is buried in the village churchyard.;South West;Blue Plaque (English Heritage)
Henry Williamson (1895-1977);Farmed Old Hall Farm, Stiffkey, NR23;In 1937 novelist Henry Williamson (1895-1977), author of Tarka the Otter (1927), purchased Old Hall Farm in Stiffkey. After eight years he abandoned the farm and returned to Devon. He recorded his experiences in The Story of a Norfolk Farm (1941).;East Anglia;Blue Plaque (English Heritage)
Henry Williamson (1895-1977);Wooden Writing Hut, Oxford Cross, Georgeham, EX33;"In 1927 novelist Henry Williamson (1895-1977) published his most acclaimed book, Tarka the Otter, which won him the Hawthornden Prize in 1928. With the money he earned with Tarka the Otter, he payed for a wooden hut near Georgeham. In this hut he wrote many of his books.The wooden writing hut was granted Grade II listed status by English Heritage in July 2014 because of its ""historical interest”. In the mid 1970s Williamson build a manor house on the land, next to the wooden writing hut. That house was put to market in 2014. Williamsons body is buried in the churchyard of Georgeham.";South West;Grade II listed
Lewis Carrol (1832-1898);Daresbury Parsonage, Morphany Lane, WA4;Mathematician and novelist Charles Dodgson (1832-1898), who became famous as Lewis Carrol by writing Alice in Wonderland (1865), was born in Daresbury and lived here till 1843. Destroyed by fire over a hundred years ago, all that remains of his birthplace is a brick outline, that is being mantained by The National Trust a Lewis Carrol’s Birthplace.;North West;The National Trust
Lewis Carrol (1832-1898);Croft Church, Croft on Tees, DL2 2SG;This rectory, in Croft, was where the family of author Lewis Carrol (1832-1898) would live for 25 years. Carrol based his famous grinning Cheshire Cat, who appears in his Alice and Wonderland (1865), on a carving in Croft Church.;Yorkshire and the Humber;-
Lewis Carrol (1832-1898);The Chestnuts, Castle Hill, Guildford, GU1 3SX;"Alice in Wonderland-creator Lewis Carrol (1832-1898) passed away in The Chestnuts in 1898. Carrol is buried close to this house, in Guildford at the Mount Cemetery
";South East;Memorial plaque
D.H. Lawrence (1885-1930);"8a Victoria Street, Eastwood, NG16 3AW
";Now the D.H. Lawrence Birthplace Museum, Lady Chatterley’s Lover-writer D.H. Lawrence (1885-1930) was born in this house in 1885.;East Midlands;Museum
D.H. Lawrence (1885-1930);Mountain Cottage, Middleton-by-Wirksworth, DE4 4;Described by himself as a ‘nice place’, novelist D.H. Lawrence (1885-1930) lived in Mountain Cottage for almost a year, from 1918 to early 1919. Here he wrote his short story Wintry Peacock. ;East Midlands;-
Evelyn Waugh (1903-1966);11 Hillfield Road, West Hampstead, NW6 1QD;Birthplace of journalist and novelist Evelyn Waugh (1903-1966), writer of the much beloved Brideshead Revisited (1945).;Greater London;-
Evelyn Waugh (1903-1966);145 North End Road, NW11 7HT;Reffered to by novelist Evelyn Waugh (1903-1966) as ‘pleasure garden’, Waugh came to live in Underhill in 1907, in a house his father build.;Greater London;-
Evelyn Waugh (1903-1966);Piers Court, Stinchcombe, Dursley GL11 6AS;On 17 april 1937, novelist Evelyn Waugh (1903-1966) got married in London. As a wedding present, the bride's grandmother them Piers Court, a country house in Gloucestershire. Waugh lived here until 1956.;South West;-
Evelyn Waugh (1903-1966);Combe Florey House;Eventually sold in 2008, Combe Florey House was owned by novelist Evelyn Waugh (1903-1966) and his son Auberon from 1956. Waugh died in this house, and is buried outside the Anglican churchyard.;South West;-
Mary Shelley (1797 - 1851);29 The Polygon, Polygon Road;Novelist Mary Shelley, née Mary Wollstonecraft Godwin (1797-1851), was born in the Polygon, now gone but its memory preserved by Polygon Road.;Greater London;-
Mary Shelley (1797 - 1851);Albion House, Marlow, Wycombe, Buckinghamshire, SL7;Novelist Mary Shelley (1797-1851) moved to Albion House in Buckinghamshire in 1817 and lived there for a year. It was here that she completed the novel she is most famous for: Frankenstein (1818).;South East;-
Mary Shelley (1797 - 1851);24 Chester Square, Belgravia, SW1W 9EA ;On 1 February 1851, Frankenstein-author Mary Shelley (1797-1851) passed away at the age of fifty-three in this house on Chester Square where she had moved to in 1846.;Greater London;-
Anthony Trollope (1815-1882);Waltham House, 104 High St, Waltham Cross EN8 7BX;Novelist Anthony Trollope (1815-1882) lived at Waltham House for twelve years, from 1859 to 1871 and wrote most of his novels here. Waltham House was demolished in 1936 and the site is now occupied by a pub.;Greater London;A Pub with a literary theme
Anthony Trollope (1815-1882);The Grange, North Lane, South Harting, Petersfield, GU31 5NR;In 1880, novelist Anthony Trollope (1815-1882) moved The Grange, South Harting. where he would die in 1882. Both his pen, paperknife and letter scales are on display in the parish church;South East;-
Robert Louis Stevenson (1850-1894);Skerryvore, Alum Chine Road, Westbourne, Bournemouth, BH4;Destroyed in 1940 during the Second World War and now a vacant plot, novelist Robert Louis Stevenson (1850-1894) lived in the house called Skerryvore between 1885 and 1887. It was here that he wrote The Strange Case of Dr. Jekyll and Mr. Hyde (1886). The house was named after the tallest lighthouse in Scotland, that was build by Stevensons uncle. A memorial garden, dedicated to the writer, is situated on the plot.;South West;Memorial plaque
J.R.R.Tolkien (1892-1973);264 Wake Green Rd, Birmingham B13 9QF;Home to author J.R.R. Tolkien (1892-1973) between 1896 and 1900. Tolkien based many elements from his The Lord of the Rings-trilogy on the surroundings from this Birmingham home.;West Midlands;-
J.R.R. Tolkien (1892-1973);2 Darnley Rd, Leeds LS16 5JF;In 1920, Lord of the Rings-author J.R.R. Tolkien(1892-1973) became professor in English at the University of Leeds and lived in this house. It was here that he produced his academic standard work Sir Gawain and the Green Knight (1925).;Yorkshire and the Humber;Blue Plaque (English Heritage)
J.R.R. Tolkien (1892-1973);20 Northmore Road, Oxford, OX2 6UR;Author J.R.R. Tolkien (1892-1973) lived in this house from 1930 to 1947 and wrote The Hobbit (1937) and the first to books of his The Lord of the Rings-trilogy whilst living here.;South East;Blue Plaque (English Heritage)
C.S. Lewis (1898 – 1963) ;The Kilns, Lewis Cl, OX3 8JD;In 1930, Narnia-author C.S. Lewis (1898-1963) moved into The Kilns, a house on the outskirts of Oxford. In The Kilns Lewis took in child evacuees during the Second World War. He died here in 1963.;South East;-
Roald Dahl (1916-1990);Gipsy House, Whitefield Lane, HP16 0BP;Gipsy House was home to BFG-author Roald Dahl (1916-1990) from 1954 to his death in 1990, at the age of 74. He wrote many of his most famous books and childrens novels whilst living here.;South East;-
Rudyard Kipling (1865-1936);Lorne Lodge, 4 Campbell Road, Southsea;Born in Bombay, India, Jungle Book-author Rudyard Kipling (1865-1936) moved to England when he was five years old and the in Southsea from 1871 to 1877.;;-
Rudyard Kipling (1865-1936);Kipling House, Villiers Street, WC2N 6NE;Jungle Book-author Rudyard Kipling (1865-1936) lived here for two years and wrote his first magazine articles whilst living in what is now called Kipling House.;Greater London;Kipling House’
Rudyard Kipling (1865-1936);Torquay, Devon, ;Jungle Book-author lived in this Cornwall home for a year, from 1896 to 1897, after living in America.;South West;-
Rudyard Kipling (1865-1936);Bateman’s, High Weald AONB, Bateman's Ln, Burwash, Etchingham TN19 7DS,;“It is a good and peaceable place. We have loved it ever since our first sight of it.” Jungle Book-author Rudyard Kipling (1865-1936) bought Bateman's in 1902 and lived here until his death in 1936. The Jacobean mansion is now in the hands of The National Trust, and open as a museum.;South East;Museum (National Trust)
H.G. Wells (1866-1946);Atlas House, 46 High Street, Bromley;Science Fiction-writer H.G. Wells (1866-1946) was born in Atlas Huse in 1866.;South East;-
H. G. Wells (1866-1946);;Now maintained by The National Trust, Science Fiction-writer H.G. Wells (1866-1946) lived as a boy in Uppark, where his mother was housekeeper between 1880 and 1893 and where he would immerse himself in the books of Uppark’s private library.;South East;Museum (National Trust)
H.G. Wells (1866-1946);143 Maybury Road, Woking, GU21 5JR;"For this house, Science Fiction-writer H.G. Wells (1866-1946) wrote
The War of the Worlds (1898). He lived here during the 1890s.";South East;-
H.G. Wells (1866-1946);Radnor Cliff Crescent, Folkestone CT20 2JQ;Now called Wells House, a Nursing Home, Science Fiction-writer H.G. Wells (1866-1946) constructed this house on 1901 and lived here until 1909.;South East;Blue Plaque (English Heritage)
H.G. Wells (1866-1946);13 Hanover Terrace, Regent's Park, London. NW1 4RJ;Science Fiction-writer H.G. Wells (1866-1946) died in this London house in 1946, aged 79.;Greater London;-
Beatrix Potter (1866-1943);2 Bolton Gardens, West Brompton, SW5;Birthplace of Peter Rabbit-author Beatrix Potter (1866-1943).;Greater London;-
Beatrix Potter (1866-1943);Hill Top Farm, Hawkshead, Ambleside, Cumbria, LA22 0LF;After the death of her husband, Peter Rabbit-author and illustrator Beatrix Potter (1866-1943) bought Hill Top Farm, situated in the English Lake District. Potter claimed she had always wanted to live in the ‘charming village’ of Near Sawrey. The farm is owned by The National Trust and open to visitors.;North West;Museum (National Trust)
Beatrix Potter (1866-1943);Castle Cottage, Near Sawrey, LA22 0LF;Peter Rabbit-author and illustrator Beatrix Potter (1866-1943) died in Castle Cottage in 1943 at Castle Cottage, and her remains were cremated nearby. Potter left nearly all her property to the National Trust. Hers was the largest gift at that time to the organization.;North West;Museum (National Trust)
Samuel Beckett (1906-1989);48 Paultons Square, Chelsea, SW3 5DT;Irish born playwright and Nobel Prize-winner Samuel Beckett (1906-1989) lived in this London house in 1934.;Greater London;Blue Plaque (English Heritage)
Sir John Betjeman (1906 – 1984);Parliament Hill Mansions, Lissenden Gardens, NW5;Poet Laureate Sir John Betjeman (1906-1984) was born in this house in 1906.;Greater London;Blue Plaque (English Heritage)
Sir John Betjeman (1906 – 1984);31 West Hill, Highgate, London N6.;Childhood home of Poet Laureate Sir John Betjeman (1906-1984) ;Greater London;Blue Plaque (English Heritage)
Sir John Betjeman (1906 – 1984);Garrard's Farm, Uffington, Oxfordshire;Home to Poet Laureate Sir John Betjeman (1906-1984), who became churchwarden at Uffington in 1937. In 2006 a blue plaque was erected here.;South East;Blue Plaque (English Heritage)
Sir John Betjeman (1906 – 1984);Treen, Daymer Lane, Trebetherick, PL27, Cornwall;Poet Laureate Sir John Betjeman (1906-1984) died in this home in the Cornish town of Trebetherick in 1984. He is buried at St Enodoc’s Church.;South West;-
John Dryden (1631 – 1700);All Saints Church, Thorpe Road, Kettering, Northamptonshire, NN14 3EA;Poet John Dryden (1631-1700) was born in the village rectory of this town in Northamptonshire.;East Midlands;-
John Dryden (1631 – 1700);Brookside Farmhouse, Titchmarsch, NN14;Brookside Farmhouse is believed to be the family home of poet John Dryden (1631-1700).;East Midlands;-
Ian Fleming (1908-1964);27 Green Street, Mayfair, W1K 7AZ;Birthplace of James Bond-author Ian Fleming (1908-1964).;Greater London;Blue Plaque (English Heritage)
C.S. Forester (1899-1966);7 Longton Avenue, Sydenham, SE26;Author C.S. Forester (1899-1966) moved here in 1932. In this house he wrote some of his Hornblower-novels.;Greater London;-
